Name,Car Spaces,Bedrooms,Bathrooms,Floor area (m2),Land Size(m2),Waterfront,Location,Price
"Bungalow House & Lot for sale in Lapu-Lapu City, Cebu",2,2,3,150,173,1,Lapu-Lapu,3800000
Ready for occupancy single detached Beach house,1,3,2,80,291,1,Argao,7078000
"Two Storey House Villa with Pool - Camotes Islands, Cebu",5,3,2,385.4,1500,1,Camotes Island,11900000
A Luxury 5-Bedroom Resort-Style Home,4,5,5,360,462,0,Lapu-Lapu,52000000
"Townhouse for Sale in Banilad, Mandaue City",1,4,3,103,60,0,Mandaue,10500000
4-Storey House with 12 Bedrooms Capitol Site Cebu PH at P7.5M,,12,10,270,61,0,Cebu,7500000
Ready for Occupancy Two Storey Duplex at Tolotolo Consolation Cebu,,3,2,56,67,1,Consolacion,4194000
Bungalow House and Lot for Sale in Cebu City,1,2,1,70,537,0,Cebu,8500000
Ready for occupancy along the highway at Bogo cebu inhouse financing,,2,1,50,40,0,Bogo,1400000
"3BR Cliff Villa with Infinity Pool & Private Beach in Oslob, Cebu, Philippines",2,3,2,250,2779,1,Oslob,32000000
2 Bedroom RFO in Talamban for sale,1,2,2,67,78,0,Cebu,4300000
"Bungalow House in a Quiet Neighborhood - Camotes Island, Cebu",,2,2,36,540,0,Camotes Island,1495000
"American Inspired Beachfront House, Esperanza, Poro",,3,2,137.02,1958,0,Camotes Island,12400000
"Elegant and Spacious Home in Corona Del Mar, Talisay City Cebu",1,4,4,300,368,0,Talisay,27000000
"Resort for sale on the beautiful location in Camotes Islands, Cebu",,7,5,393,10000,0,Camotes Island,30000000
"For Sale Duplex Attached House and Lot in La Almirah Crest, Lilo-an, Cebu",0,2,1,100,37.5,0,Liloan,2690590
"Luxury House with Three Cottage, Pool, Jacuzzi & Private Beach - Camotes Islands",3,6,6,517,6166,1,Camotes Island,30000000
Brand New House and Lot 4 bedrooms in South hills Subdivision,2,4,4,390,150,0,Cebu,19500000
"Beach House in Daanlungsod, Medellin, Cebu",,3,2,,247,0,Medellin,8200000
Beach House for Sale - Esperanza,,9,4,115.46,749,0,Camotes Island,7300000
"Tropical Native House with Big Garden in Camotes Islands, Cebu",,2,1,162,2577,0,Camotes Island,8000000
"Two Houses with White Sand Beach in Camotes Islands, Cebu",,4,4,210.48,3000,0,Camotes Island,18000000
"Two Houses for the Price of One ?One house for your home, one for business",,6,3,136,1129,0,Camotes Island,4900000
Single detached House and Lot,1,4,2,144,,1,Lapu-Lapu,8500000
"Cupid’s Cabin Resort For Sale – Camotes Island, Cebu",,15,13,572.09,1000,0,Camotes Island,29500000
Ready for Occupancy Brand New House in Talamban,1,3,3,89,87,0,Cebu,4850000
"Ready For Occupancy Townhouse Unit in Talisay City, Cebu",1,3,2,51,98,0,Talisay,5757600
"ouse and Lot with 3 Bedrooms in Mandaue City, Cebu",,3,3,130,75,0,Mandaue,5500000
House and Lot in Banawa Cebu City,1,3,3,300,220,0,Cebu,14000000
2 bedroom- Single detached houses and lot- overlooking Sea/ mountain views,1,2,1,45,120,1,Compostela,4000000
"1 Bedroom Townhouse in Agus, Lapu-Lapu City",1,1,1,54,35,0,Lapu-Lapu,1500000
"Elegant House and Lot in Amara Liloan, Cebu",2,4,5,656.5,419,0,Liloan,52000000
Overlooking House and Lot in Talisay City,4,7,5,600,300,1,Talisay,25000000
"3 Bedroom, 2 Storey Semi Furnished House and Lot for Sale in Forest Hills",1,3,3,89,53,0,Cebu,6000000
Briella (RFO) 2 storey single detached with balcony for Sale in Minglanilla,2,5,4,210,180,0,Minglanilla,9133966
"House and Lot in Corona del Mar Sub Talisay City, Cebu",2,3,5,350,196,1,Talisay,13500000
"2 Storey Single Detached House and Lot with Balcony for Sale in Minglanilla,Cebu",2,4,2,87,180,0,Minglanilla,7077429
Php23M Brandnew 5 Bedroom House Direct Sale from Owner Kishanta Subdivision,4,5,6,380,300,1,Talisay,23000000
Rush for Sale Almiya House and Lot!,1,3,2,83,231,1,Mandaue,6800000
"10-Bedroom House and Lot for Sale, Cebu City",,10,10,527,267,0,Cebu,20000000
Bungalow 2 BR House and Lot For Sale,1,2,1,85,94,0,Minglanilla,3200000
Ready for Occupancy Townhouse Unit for Sale Near Mactan Airport,1,2,2,40,75,0,Lapu-Lapu,4100000
For Only 19-20T a Month in Pag Ibig Own this House and Lot In Consolation Cebu,1,3,2,65,77,0,Consolacion,3504964
"Beach House King3 With 80sqm. @ 3.6 Mio Inside King Arthur's Place Resort, Alcoy",1,2,1,80,120,0,Alcoy,3600000
"Beach House Opensun 13 For Sale Seashore Tingko White Beach, Cebu Philippines",,1,1,45,100,0,Alcoy,3000000
Two (2) Bedroom Townhouse for Sale in Lapulapu City with complete Amenities,1,2,1,40,54,1,Lapu-Lapu,2395000
Newly Renovated Townhouse For Sale in Lahug Cebu City (Code 5),1,4,3,140,112,0,Cebu,10500000
"Beautiful exclusive pocket subdivision in Poblacion, Lilo-An, Cebu",1,3,2,61,59,0,Liloan,4200000
Ready to Move-in House with 4 car garage for Sale Within Cebu City,4,5,5,328,200.5,0,Cebu,15800000
4 Bedroom Townhouse For Sale Located in Talamban (Code 4),1,4,3,95,53,0,Cebu,5480000
2 Storey Side Attached House in Talisay City Cebu in an Elegant Subdivision,,3,2,68,70,0,Talisay,4430000
"Two (2) Storey Townhouse for Sale in Beverly Place Mactan, Agus, Lapu-lapu City",1,3,2,54.49,60,0,Lapu-Lapu,3500000
"Beach House Calypso, 40m From White Beach Pasol Alcoy Philippines",1,1,1,70,200,1,Alcoy,3800000
"2- Storey House with Car Garage for Sale in Liloan, Cebu",1,3,2,56,40,0,Liloan,2920000
"House for sale at Tres de Abril St., Punta Princesa, Cebu City",4,5,5,328,200,0,Cebu,22850000
House For Sale in Cebu City,6,8,7,800,2000,1,Cebu,55000000
Spacious house and lot for sale single detached in talamban cebu city,2,4,3,146,141,0,Cebu,9870200
4Br House and Lot For Sale in Banawa Cebu City,2,4,3,148,112,1,Cebu,16344000
Fortune House (Single Detached House) For Sale,,5,5,268.5,200.5,0,Cebu,22850000
5Br Ready For Occupancy House and Lot For Sale in Lapu Lapu City Cebu,3,5,4,350,172,1,Lapu-lapu,18000000
Residential lot w/ spacious bungalow house for Sale in banilad,8,5,5,300,1035,0,Cebu,65000000
"3BR House and Lot for Sale in Banawa, Cebu City",2,3,3,180,110,0,Cebu,
"House and Lot in Mohon, Talisay City, Cebu",,3,2,105,102,0,Talisay,6958000
3 Bedroom Townhouse in Pristina North Talamban,,3,3,126,124,1,Cebu,13225000
